member_id,name,national_id,phone,branch_id,employer,join_date,risk_rating
M00001,Moses Otieno,26235251,0719196777,BR009,Kenya Ports Authority,2025-06-16,Normal
M00002,Robert Muthoni,28261616,0787701200,BR002,Kenya Ports Authority,2022-02-20,Normal
M00003,Susan Koech,30615610,0744999379,BR001,National Police Service,2020-06-02,Normal
M00004,Samuel Omondi,30066231,0771367643,BR011,Matatu SACCO Crew,2023-01-09,Normal
M00005,Anthony Odhiambo,22458221,0782160068,BR015,National Police Service,2020-04-25,Normal
M00006,Consolata Otieno,28196824,0759597086,BR009,Boda Boda Operator,2022-06-23,Normal
M00007,Nancy Ndungu,37748304,0711049999,BR003,Ministry of Health,2024-05-31,Normal
M00008,Faith Wamalwa,24506062,0745496015,BR014,Teacher - TSC,2025-09-20,Normal
M00009,Francis Waweru,27067558,0756020613,BR015,National Police Service,2020-09-13,Normal
M00010,Robert Adhiambo,21704528,0722388090,BR011,Ministry of Health,2022-06-18,Normal
M00011,Elijah Wanjiru,28789760,0731687165,BR007,Retired,2022-08-09,Normal
M00012,Faith Otieno,25001431,0783227889,BR008,Self Employed,2025-09-08,Normal
M00013,Beatrice Wanjiru,21403543,0751373735,BR014,Matatu SACCO Crew,2023-08-23,Normal
M00014,Paul Omondi,23449181,0757469942,BR015,Kenya Revenue Authority,2019-12-13,Normal
M00015,Rebecca Adhiambo,27943586,0731810617,BR009,Kenya Revenue Authority,2024-01-22,Normal
M00016,Martin Adhiambo,31146294,0765259205,BR013,Kenya Revenue Authority,2021-06-27,Normal
M00017,Isaac Odhiambo,32835970,0715197528,BR011,Private Security Firm,2022-04-14,Normal
M00018,Sarah Kilonzo,30240506,0740547349,BR008,National Police Service,2021-12-30,Normal
M00019,Felix Otieno,29365880,0757130035,BR001,Ministry of Health,2021-09-01,Normal
M00020,John Odhiambo,28764927,0733966966,BR009,Kenya Ports Authority,2023-12-26,Normal
M00021,Joyce Wekesa,30525264,0768571795,BR005,Kenya Ports Authority,2019-12-06,Normal
